Timestamp,Total_Host_CPU_%,Total_Host_Mem_MB,Ollama_CPU_%,Ollama_Mem_MB
2026-06-10T19:23:06.071801,198.4,12745.3,0.0,0.0
2026-06-10T19:23:36.173498,264.0,12759.5,0.0,0.0
2026-06-10T19:24:06.276393,486.4,12757.5,0.0,0.0
2026-06-10T19:24:36.377866,88.0,12692.3,0.0,0.0
2026-06-10T19:25:06.479973,411.2,12731.3,0.0,0.0
2026-06-10T19:25:36.581576,16.0,12748.4,0.0,0.0
2026-06-10T19:26:06.683557,145.6,12784.9,0.0,0.0
2026-06-10T19:26:36.785651,270.4,12774.4,0.0,0.0
2026-06-10T19:27:06.887642,54.4,12794.2,0.0,0.0
2026-06-10T19:27:36.989539,86.4,12777.1,0.0,0.0
2026-06-10T19:28:07.092292,91.2,12876.3,0.0,0.0
2026-06-10T19:28:37.194145,89.6,12785.4,0.0,0.0
2026-06-10T19:29:07.295647,147.2,12645.9,0.0,0.0
2026-06-10T19:29:37.396963,286.4,12671.7,0.0,0.0
2026-06-10T19:30:07.498822,172.8,12711.1,0.0,0.0
2026-06-10T19:30:37.601669,0.0,12697.4,0.0,0.0
2026-06-10T19:31:07.703824,88.0,12730.4,0.0,0.0
2026-06-10T19:31:37.806619,235.2,12712.7,0.0,0.0
2026-06-10T19:32:07.908024,0.0,12765.5,0.0,0.0
2026-06-10T19:32:38.009751,332.8,12747.8,0.0,0.0
2026-06-10T19:33:08.111002,136.0,12798.4,0.0,0.0
2026-06-10T19:33:38.212445,43.2,12840.4,0.0,0.0
2026-06-10T19:34:08.314246,73.6,12860.8,0.0,0.0
2026-06-10T19:34:38.416744,176.0,12811.7,0.0,0.0
2026-06-10T19:35:08.518914,86.4,12869.3,0.0,0.0
2026-06-10T19:35:38.620768,84.8,12833.6,0.0,0.0
2026-06-10T19:36:08.723104,0.0,12866.1,0.0,0.0
2026-06-10T19:36:38.825930,222.4,12880.1,0.0,0.0
