timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-10T17:44:09.192554,35850,127225,5,90
2026-06-10T17:44:32.723179,35851,127228,14,91
2026-06-10T17:44:52.953531,35851,127231,5,152
2026-06-10T17:45:15.971693,35852,127233,30,153
2026-06-10T17:45:39.236414,35853,127238,18,93
2026-06-10T17:45:59.375597,35855,127241,4,98
2026-06-10T17:46:19.355812,35856,127244,5,89
2026-06-10T17:46:39.461809,35857,127247,4,147
2026-06-10T17:46:59.314934,35857,127253,6,34
2026-06-10T17:47:23.531321,35858,127270,857,230
2026-06-10T17:47:42.543027,35858,127277,5,28
2026-06-10T17:48:05.855398,35859,127277,22,124
2026-06-10T17:48:29.053202,35860,127281,15,90
2026-06-10T17:48:52.453871,35861,127284,41,217
2026-06-10T17:49:12.238444,35861,127291,3,0
2026-06-10T17:49:32.264386,35861,127291,4,0
2026-06-10T17:49:52.344955,35861,127291,5,60
2026-06-10T17:50:12.356156,35861,127304,5,55
2026-06-10T17:50:32.455491,35861,127304,4,112
2026-06-10T17:50:52.358070,35861,127304,4,0
2026-06-10T17:51:12.344809,35861,127304,3,0
2026-06-10T17:51:32.377463,35861,127304,4,0
2026-06-10T17:51:52.402320,35861,127304,4,1
2026-06-10T17:52:12.410103,35861,127316,4,0
2026-06-10T17:52:32.509144,35862,127316,4,36
2026-06-10T17:52:52.621163,35862,127317,5,113
2026-06-10T17:53:12.479572,35863,127317,5,0
2026-06-10T17:53:32.590716,35864,127317,4,74
2026-06-10T17:53:52.533930,35864,127319,4,0
2026-06-10T17:54:12.555028,35864,127319,4,0
2026-06-10T17:54:32.604333,35864,127321,4,0
2026-06-10T17:54:52.626637,35864,127321,4,0
2026-06-10T17:55:12.666057,35864,127321,4,31
2026-06-10T17:55:32.679953,35864,127321,4,29
2026-06-10T17:55:56.245230,35866,127321,44,285
2026-06-10T17:56:16.175384,35866,127330,5,178
2026-06-10T17:56:39.339392,35867,127330,14,91
2026-06-10T17:56:59.298410,35867,127333,4,0
2026-06-10T17:57:19.318876,35867,127333,5,1
2026-06-10T17:57:42.628957,35868,127333,26,165
2026-06-10T17:58:02.652411,35868,127338,5,68
2026-06-10T17:58:22.561521,35868,127383,4,0
2026-06-10T17:58:42.589093,35868,127383,4,0
2026-06-10T17:59:02.730618,35868,127383,5,110
2026-06-10T17:59:22.623976,35869,127383,5,0
2026-06-10T17:59:42.652590,35869,127392,4,0
2026-06-10T18:00:02.669668,35870,127392,3,0
2026-06-10T18:00:22.695542,35870,127392,3,0
2026-06-10T18:00:42.723056,35871,127392,4,0
2026-06-10T18:01:02.751035,35871,127392,4,0
2026-06-10T18:01:22.767853,35872,127392,5,0
2026-06-10T18:01:42.778506,35872,127392,3,0
2026-06-10T18:02:02.784606,35873,127392,4,0
2026-06-10T18:02:22.815177,35873,127392,4,0
2026-06-10T18:02:42.823468,35874,127400,3,0
2026-06-10T18:03:02.910630,35874,127400,4,59
2026-06-10T18:03:22.871569,35874,127400,4,0
2026-06-10T18:03:42.890343,35874,127400,4,0
2026-06-10T18:04:02.937151,35874,127400,4,0
2026-06-10T18:04:22.940257,35874,127400,4,0
2026-06-10T18:04:45.982160,35875,127400,20,125
2026-06-10T18:05:09.761144,35877,127404,121,691
2026-06-10T18:05:29.027015,35877,127426,5,87
2026-06-10T18:05:51.903144,35878,127426,20,124
2026-06-10T18:06:12.196078,35878,127430,5,205
2026-06-10T18:06:32.015777,35878,127430,5,95
2026-06-10T18:06:54.837175,35879,127430,21,95
2026-06-10T18:07:14.895802,35880,127433,5,60
2026-06-10T18:07:38.365365,35881,127435,25,200
2026-06-10T18:07:58.421193,35881,127441,7,139
2026-06-10T18:08:21.357008,35882,127441,26,159
2026-06-10T18:08:41.317186,35882,127485,4,60
2026-06-10T18:09:01.607710,35882,127485,5,230
2026-06-10T18:09:21.279372,35883,127486,5,28
2026-06-10T18:09:41.382783,35884,127487,5,72
2026-06-10T18:10:01.260329,35885,127489,5,0
2026-06-10T18:10:21.364645,35886,127489,5,62
2026-06-10T18:10:44.725222,35887,127508,20,136
2026-06-10T18:11:08.040948,35889,127512,28,197
2026-06-10T18:11:27.883210,35889,127519,4,0
2026-06-10T18:11:51.218831,35890,127519,14,93
2026-06-10T18:12:11.267082,35890,127522,5,57
2026-06-10T18:12:31.305905,35890,127522,5,70
2026-06-10T18:12:54.890706,35891,127522,89,547
2026-06-10T18:13:14.381740,35892,127539,6,92
2026-06-10T18:13:34.259007,35892,127561,5,0
2026-06-10T18:13:54.279310,35892,127561,5,0
2026-06-10T18:14:14.415782,35893,127561,5,97
2026-06-10T18:14:34.320921,35894,127564,4,1
2026-06-10T18:14:54.340452,35894,127564,3,0
2026-06-10T18:15:17.848643,35895,127564,24,179
2026-06-10T18:15:37.722692,35895,127569,5,0
2026-06-10T18:16:01.128625,35896,127569,14,93
2026-06-10T18:16:24.178496,35897,127613,14,60
2026-06-10T18:16:44.226940,35898,127615,5,29
2026-06-10T18:17:04.243756,35898,127616,5,29
2026-06-10T18:17:24.239100,35898,127616,4,29
2026-06-10T18:17:44.265442,35898,127616,4,37
2026-06-10T18:18:04.229065,35898,127616,3,1
2026-06-10T18:18:24.512607,35899,127616,5,126
2026-06-10T18:18:44.426872,35900,127620,5,62
2026-06-10T18:19:07.430170,35901,127657,20,123
2026-06-10T18:19:27.583188,35901,127661,5,121
2026-06-10T18:19:47.375312,35901,127661,5,0
2026-06-10T18:20:10.582270,35902,127661,15,92
2026-06-10T18:20:30.637997,35902,127672,5,61
2026-06-10T18:20:53.655386,35903,127672,13,93
2026-06-10T18:21:13.793133,35903,127675,6,85
2026-06-10T18:21:36.770064,35905,127675,14,92
2026-06-10T18:22:00.410042,35906,127678,94,539
2026-06-10T18:22:19.914425,35907,127695,5,112
2026-06-10T18:22:39.965916,35907,127698,5,96
2026-06-10T18:22:59.970327,35907,127698,5,129
2026-06-10T18:23:23.126141,35908,127698,46,300
2026-06-10T18:23:42.942139,35908,127707,5,58
2026-06-10T18:24:06.135620,35913,127726,67,422
2026-06-10T18:24:25.800915,35913,127738,6,86
2026-06-10T18:24:45.808429,35913,127738,5,90
2026-06-10T18:25:09.083171,35914,127738,31,188
2026-06-10T18:25:29.092002,35914,127744,4,94
2026-06-10T18:25:52.017758,35915,127744,25,171
2026-06-10T18:26:12.067123,35917,127768,6,146
2026-06-10T18:26:31.900506,35917,127774,4,0
2026-06-10T18:26:55.028886,35918,127774,15,60
2026-06-10T18:27:48.103729,35935,127776,3662,23129
2026-06-10T18:27:48.285790,35936,128400,15,104
2026-06-10T18:28:01.009810,35937,128403,4,0
2026-06-10T18:28:21.022703,35937,128403,7,1
2026-06-10T18:28:44.069709,35938,128414,13,93
2026-06-10T18:29:04.154635,35938,128417,4,89
2026-06-10T18:29:24.256131,35938,128417,5,145
2026-06-10T18:29:47.292033,35939,128417,25,156
2026-06-10T18:30:09.952162,35940,128422,13,59
2026-06-10T18:30:32.801552,35941,128424,15,60
2026-06-10T18:30:55.986216,35942,128426,43,257
2026-06-10T18:31:19.020046,35943,128434,73,435
2026-06-10T18:31:38.596217,35943,128448,4,61
2026-06-10T18:31:58.713656,35944,128448,5,96
2026-06-10T18:32:18.691670,35945,128515,5,89
2026-06-10T18:32:41.835824,35946,128518,43,292
2026-06-10T18:33:01.717186,35947,128527,5,92
2026-06-10T18:33:21.682472,35948,128530,4,62
2026-06-10T18:33:44.851734,35949,128532,46,293
2026-06-10T18:34:04.668899,35949,128541,5,86
2026-06-10T18:34:24.594065,35949,128541,5,0
2026-06-10T18:34:44.901910,35951,128555,5,168
2026-06-10T18:35:07.775795,35952,128560,39,220
2026-06-10T18:35:27.658124,35952,128567,5,55
2026-06-10T18:35:47.856128,35952,128567,4,147
2026-06-10T18:36:10.710357,35953,128567,23,126
2026-06-10T18:36:33.801717,35954,128571,34,224
2026-06-10T18:36:56.680790,35955,128578,19,119
2026-06-10T18:37:19.859310,35960,128582,41,270
2026-06-10T18:37:39.752541,35960,128676,4,86
2026-06-10T18:37:59.790578,35960,128676,4,93
2026-06-10T18:38:19.703115,35961,128676,4,29
2026-06-10T18:38:39.678536,35961,128677,4,30
2026-06-10T18:39:02.899818,35962,128700,30,150
2026-06-10T18:39:58.645542,35963,128705,3822,25358
2026-06-10T18:39:58.821329,35964,129376,14,101
2026-06-10T18:40:11.962645,35965,129379,15,89
2026-06-10T18:40:35.028047,35966,129382,14,93
2026-06-10T18:40:55.106963,35966,129393,6,88
2026-06-10T18:41:15.114116,35967,129393,4,90
2026-06-10T18:41:39.139537,35968,129396,148,961
2026-06-10T18:41:58.147022,35968,129426,4,86
2026-06-10T18:42:18.116760,35968,129426,5,82
2026-06-10T18:42:51.641339,35993,129426,1362,7897
2026-06-10T18:43:01.605896,35993,129662,4,197
2026-06-10T18:43:21.380500,35993,129662,4,82
2026-06-10T18:43:41.424962,35993,129662,3,86
2026-06-10T18:44:04.317715,35994,129662,21,119
2026-06-10T18:44:24.346453,35995,129666,4,65
2026-06-10T18:44:44.349322,35995,129712,4,55
2026-06-10T18:45:04.388230,35995,129712,5,72
2026-06-10T18:45:24.410181,35995,129712,4,55
2026-06-10T18:45:44.448636,35995,129712,5,61
2026-06-10T18:46:04.322062,35996,129729,4,0
2026-06-10T18:46:24.343825,35997,129729,4,0
2026-06-10T18:46:44.524067,35997,129729,4,112
2026-06-10T18:47:04.658771,35997,129729,4,141
2026-06-10T18:47:24.688845,35997,129729,4,171
2026-06-10T18:47:44.715318,35997,129729,4,143
2026-06-10T18:48:04.731136,35997,129729,4,147
2026-06-10T18:48:24.699802,35997,129729,4,177
2026-06-10T18:48:44.501959,35998,129729,3,0
2026-06-10T18:49:04.537623,35998,129754,4,0
2026-06-10T18:49:24.700929,35999,129754,6,113
2026-06-10T18:49:44.662198,35999,129757,5,86
2026-06-10T18:50:04.717541,36000,129757,4,92
2026-06-10T18:50:24.651449,36001,129761,5,29
2026-06-10T18:50:44.731764,36001,129762,4,62
2026-06-10T18:51:04.952529,36001,129762,5,190
2026-06-10T18:51:24.818011,36001,129762,5,89
2026-06-10T18:51:45.061691,36001,129780,4,199
2026-06-10T18:52:04.954408,36001,129780,4,144
2026-06-10T18:52:24.897938,36002,129780,6,70
2026-06-10T18:52:44.915788,36003,129782,4,62
2026-06-10T18:53:04.968877,36003,129784,6,91
2026-06-10T18:53:27.944996,36005,129784,19,120
2026-06-10T18:53:50.918956,36006,129788,15,94
2026-06-10T18:54:10.998841,36006,129798,7,99
2026-06-10T18:54:30.963526,36007,129798,5,70
2026-06-10T18:54:51.168489,36007,129800,4,156
2026-06-10T18:55:15.484035,36030,129800,214,1335
2026-06-10T18:55:33.846897,36031,129840,4,0
